Date,Bank rate
22-Jul-60,..
23-Jul-60,..
24-Jul-60,..
25-Jul-60,..
26-Jul-60,..
27-Jul-60,3.44
28-Jul-60,3.17
29-Jul-60,3.17
30-Jul-60,..
31-Jul-60,..
01-Aug-60,3.17
02-Aug-60,3.17
03-Aug-60,3.17
04-Aug-60,3.08
05-Aug-60,3.08
06-Aug-60,..
07-Aug-60,..
08-Aug-60,3.08
09-Aug-60,3.08
10-Aug-60,3.08
11-Aug-60,3.16
12-Aug-60,3.16
13-Aug-60,..
14-Aug-60,..
15-Aug-60,3.16
16-Aug-60,3.16
17-Aug-60,3.16
18-Aug-60,2.91
19-Aug-60,2.91
20-Aug-60,..
21-Aug-60,..
22-Aug-60,2.91
23-Aug-60,2.91
24-Aug-60,2.91
25-Aug-60,2.5
26-Aug-60,2.5
27-Aug-60,..
28-Aug-60,..
29-Aug-60,2.5
30-Aug-60,2.5
31-Aug-60,2.5
01-Sep-60,2.26
02-Sep-60,2.26
03-Sep-60,..
04-Sep-60,..
05-Sep-60,2.26
06-Sep-60,2.26
07-Sep-60,2.26
08-Sep-60,2.34
09-Sep-60,2.34
10-Sep-60,..
11-Sep-60,..
12-Sep-60,2.34
13-Sep-60,2.34
14-Sep-60,2.34
15-Sep-60,2.32
16-Sep-60,2.32
17-Sep-60,..
18-Sep-60,..
19-Sep-60,2.32
20-Sep-60,2.32
21-Sep-60,2.32
22-Sep-60,1.93
23-Sep-60,1.93
24-Sep-60,..
25-Sep-60,..
26-Sep-60,1.93
27-Sep-60,1.93
28-Sep-60,1.93
29-Sep-60,1.95
30-Sep-60,1.95
01-Oct-60,..
02-Oct-60,..
03-Oct-60,1.95
04-Oct-60,1.95
05-Oct-60,1.95
06-Oct-60,2.45
07-Oct-60,2.45
08-Oct-60,..
09-Oct-60,..
10-Oct-60,2.45
11-Oct-60,2.45
12-Oct-60,2.45
13-Oct-60,2.73
14-Oct-60,2.73
15-Oct-60,..
16-Oct-60,..
17-Oct-60,2.73
18-Oct-60,2.73
19-Oct-60,2.73
20-Oct-60,3.12
21-Oct-60,3.12
22-Oct-60,..
23-Oct-60,..
24-Oct-60,3.12
25-Oct-60,3.12
26-Oct-60,3.12
27-Oct-60,3.28
28-Oct-60,3.28
29-Oct-60,..
30-Oct-60,..
31-Oct-60,3.28
01-Nov-60,3.28
02-Nov-60,3.28
03-Nov-60,3.47
04-Nov-60,3.47
05-Nov-60,..
06-Nov-60,..
07-Nov-60,3.47
08-Nov-60,3.47
09-Nov-60,3.46
10-Nov-60,3.46
11-Nov-60,3.46
12-Nov-60,..
13-Nov-60,..
14-Nov-60,3.46
15-Nov-60,3.46
16-Nov-60,3.46
17-Nov-60,3.73
18-Nov-60,3.73
19-Nov-60,..
20-Nov-60,..
21-Nov-60,2.73
22-Nov-60,2.73
23-Nov-60,2.73
24-Nov-60,4.02
25-Nov-60,4.02
26-Nov-60,..
27-Nov-60,..
28-Nov-60,4.02
29-Nov-60,4.02
30-Nov-60,4.02
01-Dec-60,4.2
02-Dec-60,4.2
03-Dec-60,..
04-Dec-60,..
05-Dec-60,4.2
06-Dec-60,4.2
07-Dec-60,4.2
08-Dec-60,3.95
09-Dec-60,3.95
10-Dec-60,..
11-Dec-60,..
12-Dec-60,3.95
13-Dec-60,3.95
14-Dec-60,3.95
15-Dec-60,3.94
16-Dec-60,3.94
17-Dec-60,..
18-Dec-60,..
19-Dec-60,3.94
20-Dec-60,3.94
21-Dec-60,3.94
22-Dec-60,3.71
23-Dec-60,3.71
24-Dec-60,..
25-Dec-60,..
26-Dec-60,3.71
27-Dec-60,3.71
28-Dec-60,3.71
29-Dec-60,3.5
30-Dec-60,3.5
31-Dec-60,..
01-Jan-61,..
02-Jan-61,3.5
03-Jan-61,3.5
04-Jan-61,3.5
05-Jan-61,3.59
06-Jan-61,3.59
07-Jan-61,..
08-Jan-61,..
09-Jan-61,3.59
10-Jan-61,3.59
11-Jan-61,3.59
12-Jan-61,3.43
13-Jan-61,3.43
14-Jan-61,..
15-Jan-61,..
16-Jan-61,3.43
17-Jan-61,3.43
18-Jan-61,3.43
19-Jan-61,3.47
20-Jan-61,3.47
21-Jan-61,..
22-Jan-61,..
23-Jan-61,3.47
24-Jan-61,3.47
25-Jan-61,3.47
26-Jan-61,3.29
27-Jan-61,3.29
28-Jan-61,..
29-Jan-61,..
30-Jan-61,3.29
31-Jan-61,3.29
01-Feb-61,3.29
02-Feb-61,3.38
03-Feb-61,3.38
04-Feb-61,..
05-Feb-61,..
06-Feb-61,3.38
07-Feb-61,3.38
08-Feb-61,3.38
09-Feb-61,3.35
10-Feb-61,3.35
11-Feb-61,..
12-Feb-61,..
13-Feb-61,3.35
14-Feb-61,3.35
15-Feb-61,3.35
16-Feb-61,3.11
17-Feb-61,3.11
18-Feb-61,..
19-Feb-61,..
20-Feb-61,3.11
21-Feb-61,3.11
22-Feb-61,3.11
23-Feb-61,3.36
24-Feb-61,3.36
25-Feb-61,..
26-Feb-61,..
27-Feb-61,3.36
28-Feb-61,3.36
01-Mar-61,3.36
02-Mar-61,3.46
03-Mar-61,3.46
04-Mar-61,..
05-Mar-61,..
06-Mar-61,3.46
07-Mar-61,3.46
08-Mar-61,3.46
09-Mar-61,3.46
10-Mar-61,3.46
11-Mar-61,..
12-Mar-61,..
13-Mar-61,3.46
14-Mar-61,3.46
15-Mar-61,3.46
16-Mar-61,3.41
17-Mar-61,3.41
18-Mar-61,..
19-Mar-61,..
20-Mar-61,3.41
21-Mar-61,3.41
22-Mar-61,3.41
23-Mar-61,3.53
24-Mar-61,3.53
25-Mar-61,..
26-Mar-61,..
27-Mar-61,3.53
28-Mar-61,3.53
29-Mar-61,3.46
30-Mar-61,3.46
31-Mar-61,3.46
01-Apr-61,..
02-Apr-61,..
03-Apr-61,3.46
04-Apr-61,3.46
05-Apr-61,3.46
06-Apr-61,3.5
07-Apr-61,3.5
08-Apr-61,..
09-Apr-61,..
10-Apr-61,3.5
11-Apr-61,3.5
12-Apr-61,3.5
13-Apr-61,3.59
14-Apr-61,3.59
15-Apr-61,..
16-Apr-61,..
17-Apr-61,3.59
18-Apr-61,3.59
19-Apr-61,3.59
20-Apr-61,3.57
21-Apr-61,3.57
22-Apr-61,..
23-Apr-61,..
24-Apr-61,3.57
25-Apr-61,3.57
26-Apr-61,3.57
27-Apr-61,3.53
28-Apr-61,3.53
29-Apr-61,..
30-Apr-61,..
01-May-61,3.53
02-May-61,3.53
03-May-61,3.53
04-May-61,3.47
05-May-61,3.47
06-May-61,..
07-May-61,..
08-May-61,3.47
09-May-61,3.47
10-May-61,3.47
11-May-61,3.45
12-May-61,3.45
13-May-61,..
14-May-61,..
15-May-61,3.45
16-May-61,3.45
17-May-61,3.45
18-May-61,3.41
19-May-61,3.41
20-May-61,..
21-May-61,..
22-May-61,3.41
23-May-61,3.41
24-May-61,3.41
25-May-61,3.42
26-May-61,3.42
27-May-61,..
28-May-61,..
29-May-61,3.42
30-May-61,3.42
31-May-61,3.42
01-Jun-61,3.39
02-Jun-61,3.39
03-Jun-61,..
04-Jun-61,..
05-Jun-61,3.39
06-Jun-61,3.39
07-Jun-61,3.39
08-Jun-61,3.3
09-Jun-61,3.3
10-Jun-61,..
11-Jun-61,..
12-Jun-61,3.3
13-Jun-61,3.3
14-Jun-61,3.3
15-Jun-61,2.85
16-Jun-61,2.85
17-Jun-61,..
18-Jun-61,..
19-Jun-61,2.85
20-Jun-61,2.85
21-Jun-61,2.85
22-Jun-61,2.8
23-Jun-61,2.8
24-Jun-61,..
25-Jun-61,..
26-Jun-61,2.8
27-Jun-61,2.8
28-Jun-61,2.8
29-Jun-61,2.82
30-Jun-61,2.82
01-Jul-61,..
02-Jul-61,..
03-Jul-61,2.82
04-Jul-61,2.82
05-Jul-61,2.82
06-Jul-61,2.88
07-Jul-61,2.88
08-Jul-61,..
09-Jul-61,..
10-Jul-61,2.88
11-Jul-61,2.88
12-Jul-61,2.88
13-Jul-61,2.87
14-Jul-61,2.87
15-Jul-61,..
16-Jul-61,..
17-Jul-61,2.87
18-Jul-61,2.87
19-Jul-61,2.87
20-Jul-61,2.88
21-Jul-61,2.88
22-Jul-61,..
23-Jul-61,..
24-Jul-61,2.88
25-Jul-61,2.88
26-Jul-61,2.88
27-Jul-61,2.8
28-Jul-61,2.8
29-Jul-61,..
30-Jul-61,..
31-Jul-61,2.8
01-Aug-61,2.8
02-Aug-61,2.8
03-Aug-61,2.77
04-Aug-61,2.77
05-Aug-61,..
06-Aug-61,..
07-Aug-61,2.77
08-Aug-61,2.77
09-Aug-61,2.77
10-Aug-61,2.79
11-Aug-61,2.79
12-Aug-61,..
13-Aug-61,..
14-Aug-61,2.79
15-Aug-61,2.79
