Date,1-NHPI,2-HAI,3-ConstMat,4-Population,5-Investment,6-ConstMatLagged
2024-07-01,0.1,0.488,0,0,0,0
2024-04-01,-0.1,0.506,0,0,0,0
2024-01-01,-0.5,0.518,0,0,7932778525,-0.030275
2023-10-01,-0.8,0.547,0,0,0,0
2023-07-01,-0.9,0.549,0,0,0,0
2023-04-01,-0.5,0.508,0,0,0,0
2023-01-01,1.4,0.501,-0.030275,1102559.5,7495826683,0.134716667
2022-10-01,4.4,0.503,0,0,0,0
2022-07-01,6.9,0.513,0,0,0,0
2022-04-01,8.5,0.511,0,0,0,0
2022-01-01,11.3,0.452,0.134716667,644486.75,7646900507,0.1727
2021-10-01,11.6,0.417,0,0,0,0
2021-07-01,11.8,0.394,0,0,0,0
2021-04-01,11,0.384,0,0,0,0
2021-01-01,6.8,0.359,0.1727,223687.75,6945735437,0.0145
2020-10-01,4.4,0.357,0,0,0,0
2020-07-01,2.4,0.332,0,0,0,0
2020-04-01,1.1,0.317,0,0,0,0
2020-01-01,0.5,0.365,0.0145,442584.25,5817612071,0.022941667
2019-10-01,0,0.364,0,0,0,0
2019-07-01,-0.3,0.356,0,0,0,0
2019-04-01,0,0.353,0,0,0,0
2019-01-01,0,0.368,0.022941667,545875.25,5646932382,0.057458333
2018-10-01,0,0.373,0,0,0,0
2018-07-01,0.4,0.371,0,0,0,0
2018-04-01,1.1,0.368,0,0,0,0
2018-01-01,2.7,0.369,0.057458333,514999,5500950990,0.031225
2017-10-01,3.4,0.362,0,0,0,0
2017-07-01,3.8,0.367,0,0,0,0
2017-04-01,3.8,0.369,0,0,0,0
2017-01-01,3.2,0.363,0.031225,441811,5206346203,0
